日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,4.64,4.70,4.63,4.68,0.01,0.21,49761,2322,1.50,0.91
2014-01-03,4.65,4.65,4.54,4.59,-0.09,-1.92,79031,3623,2.35,1.45
2014-01-06,4.55,4.56,4.38,4.40,-0.19,-4.14,76145,3372,3.92,1.40
2014-01-07,4.36,4.47,4.35,4.45,0.05,1.14,43749,1941,2.73,0.80
2014-01-08,4.45,4.52,4.43,4.48,0.03,0.67,42566,1903,2.02,0.78
2014-01-09,4.50,4.53,4.36,4.37,-0.11,-2.46,55312,2456,3.79,1.02
2014-01-10,4.32,4.39,4.20,4.23,-0.14,-3.20,58993,2521,4.35,1.08
2014-01-13,4.23,4.27,4.21,4.23,0.00,0.00,33933,1437,1.42,0.62
2014-01-14,4.24,4.32,4.23,4.31,0.08,1.89,39835,1704,2.13,0.73
2014-01-15,4.35,4.40,4.26,4.37,0.06,1.39,54396,2355,3.25,1.00
2014-01-16,4.39,4.42,4.32,4.39,0.02,0.46,41669,1821,2.29,0.77
2014-01-17,4.37,4.37,4.27,4.30,-0.09,-2.05,34010,1466,2.28,0.62
2014-01-20,4.42,4.44,4.31,4.36,0.06,1.40,65541,2875,3.02,1.20
2014-01-21,4.34,4.39,4.31,4.38,0.02,0.46,39524,1723,1.83,0.73
2014-01-22,4.37,4.45,4.36,4.44,0.06,1.37,61856,2740,2.05,1.14
2014-01-23,4.44,4.48,4.39,4.44,0.00,0.00,64261,2845,2.03,1.18
2014-01-24,4.43,4.52,4.42,4.50,0.06,1.35,73285,3271,2.25,1.35
2014-01-27,4.47,4.47,4.42,4.42,-0.08,-1.78,40346,1793,1.11,0.74
2014-01-28,4.45,4.48,4.40,4.46,0.04,0.91,35542,1579,1.81,0.65
2014-01-29,4.48,4.48,4.43,4.46,0.00,0.00,29732,1323,1.12,0.55
2014-01-30,4.47,4.48,4.35,4.39,-0.07,-1.57,35362,1559,2.91,0.65
2014-02-07,4.35,4.48,4.33,4.47,0.08,1.82,40898,1818,3.42,0.75
2014-02-10,4.45,4.57,4.44,4.56,0.09,2.01,76425,3463,2.91,1.40
2014-02-11,4.56,4.68,4.53,4.66,0.10,2.19,114474,5296,3.29,2.10
2014-02-12,4.68,4.74,4.60,4.72,0.06,1.29,114843,5372,3.00,2.11
2014-02-13,4.70,4.73,4.59,4.60,-0.12,-2.54,83240,3881,2.97,1.53
