日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,8.48,8.48,8.24,8.30,-0.25,-2.92,150657,12554,2.81,0.90
2014-01-03,8.25,8.25,8.07,8.12,-0.18,-2.17,111233,9025,2.17,0.66
2014-01-06,8.15,8.15,7.70,7.77,-0.35,-4.31,156025,12224,5.54,0.93
2014-01-07,7.70,8.08,7.61,7.85,0.08,1.03,98108,7734,6.05,0.59
2014-01-08,7.85,7.87,7.68,7.70,-0.15,-1.91,87365,6766,2.42,0.52
2014-01-09,7.70,7.85,7.62,7.66,-0.04,-0.52,72409,5617,2.99,0.43
2014-01-10,7.66,7.78,7.61,7.63,-0.03,-0.39,74061,5689,2.22,0.44
2014-01-13,7.61,7.68,7.44,7.48,-0.15,-1.97,81312,6119,3.15,0.49
2014-01-14,7.45,7.63,7.26,7.58,0.10,1.34,110711,8255,4.95,0.66
2014-01-15,7.55,7.56,7.37,7.43,-0.15,-1.98,75743,5648,2.51,0.45
2014-01-16,7.43,7.89,7.42,7.71,0.28,3.77,169998,13051,6.33,1.02
2014-01-17,7.57,7.63,7.44,7.50,-0.21,-2.72,86505,6495,2.46,0.52
2014-01-20,7.45,7.50,7.25,7.27,-0.23,-3.07,101566,7462,3.33,0.61
2014-01-21,7.24,7.39,7.24,7.35,0.08,1.10,68710,5023,2.06,0.41
2014-01-22,7.37,7.56,7.29,7.54,0.19,2.59,110508,8265,3.67,0.66
2014-01-23,7.56,7.65,7.47,7.54,0.00,0.00,112546,8509,2.39,0.67
2014-01-24,7.50,7.66,7.48,7.59,0.05,0.66,105719,8025,2.39,0.63
2014-01-27,7.52,7.54,7.43,7.46,-0.13,-1.71,85648,6407,1.45,0.51
2014-01-28,7.50,7.72,7.48,7.64,0.18,2.41,124782,9519,3.22,0.75
2014-01-29,7.63,7.73,7.60,7.61,-0.03,-0.39,85991,6581,1.70,0.51
2014-01-30,7.56,7.61,7.46,7.57,-0.04,-0.53,69778,5255,1.97,0.42
2014-02-07,7.49,7.58,7.32,7.57,0.00,0.00,73716,5490,3.43,0.44
2014-02-10,7.56,7.77,7.55,7.76,0.19,2.51,137748,10627,2.91,0.82
2014-02-11,7.75,8.38,7.69,8.30,0.54,6.96,364634,29349,8.89,2.18
2014-02-12,8.42,9.09,8.30,8.99,0.69,8.31,665109,58646,9.52,3.97
2014-02-13,8.99,8.99,8.54,8.56,-0.43,-4.78,394771,34458,5.01,2.36
2014-02-14,8.56,8.90,8.56,8.67,0.11,1.29,218682,19065,3.97,1.31
2014-02-17,8.75,8.77,8.50,8.76,0.09,1.04,207784,17949,3.11,1.24
2014-02-18,8.72,9.54,8.53,9.44,0.68,7.76,466587,42428,11.53,2.79
2014-02-19,9.15,9.63,9.12,9.16,-0.28,-2.97,446735,41709,5.40,2.67
2014-02-20,9.06,9.27,8.70,8.81,-0.35,-3.82,286409,25782,6.22,1.71
2014-02-21,8.85,9.29,8.85,9.06,0.25,2.84,307785,27976,4.99,1.84
2014-02-24,8.99,9.05,8.71,8.89,-0.17,-1.88,173975,15397,3.75,1.04
2014-02-25,8.89,9.28,8.71,8.75,-0.14,-1.57,292247,26095,6.41,1.75
2014-02-26,8.66,8.90,8.43,8.81,0.06,0.69,178429,15494,5.37,1.07
2014-02-27,8.79,8.96,8.70,8.71,-0.10,-1.14,170903,15064,2.95,1.02
2014-02-28,8.86,8.95,8.58,8.73,0.02,0.23,123570,10800,4.25,0.74
2014-03-03,8.70,8.89,8.60,8.82,0.09,1.03,151930,13355,3.32,0.91
2014-03-04,8.75,9.46,8.70,9.20,0.38,4.31,374135,34010,8.62,2.23
2014-03-05,9.10,9.17,8.86,8.91,-0.29,-3.15,216919,19533,3.37,1.30
2014-03-06,9.15,9.49,9.00,9.02,0.11,1.23,351215,32228,5.50,2.10
2014-03-07,8.90,9.04,8.84,8.90,-0.12,-1.33,137496,12278,2.22,0.82
2014-03-10,8.91,9.12,8.74,8.75,-0.15,-1.69,194838,17369,4.27,1.16
2014-03-11,8.70,8.76,8.46,8.54,-0.21,-2.40,166816,14378,3.43,1.00
2014-03-12,8.54,8.65,8.20,8.35,-0.19,-2.22,153211,12905,5.27,0.91
2014-03-13,8.35,8.54,8.35,8.43,0.08,0.96,96242,8126,2.28,0.57
2014-03-14,8.38,8.80,8.31,8.69,0.26,3.08,144206,12326,5.81,0.86
2014-03-17,8.60,8.74,8.56,8.70,0.01,0.12,107129,9269,2.07,0.64
2014-03-18,8.71,8.71,8.61,8.63,-0.07,-0.80,80457,6959,1.15,0.48
2014-03-19,8.60,8.79,8.43,8.68,0.05,0.58,127658,11001,4.17,0.76
2014-03-20,8.60,8.81,8.53,8.58,-0.10,-1.15,148344,12911,3.23,0.89
2014-03-21,8.50,8.74,8.38,8.70,0.12,1.40,140109,12017,4.20,0.84
2014-03-24,8.77,9.40,8.75,9.25,0.55,6.32,519000,47913,7.47,3.10
2014-03-25,9.35,9.65,9.07,9.16,-0.09,-0.97,454933,42694,6.27,2.72
2014-03-26,9.07,9.15,8.89,8.98,-0.18,-1.97,225788,20318,2.84,1.35
2014-03-27,8.91,9.37,8.85,9.06,0.08,0.89,266157,24373,5.79,1.59
2014-03-28,8.95,9.08,8.81,8.84,-0.22,-2.43,184527,16448,2.98,1.10
2014-03-31,8.95,8.95,8.61,8.63,-0.21,-2.38,127502,11133,3.85,0.76
2014-04-01,8.61,8.73,8.60,8.71,0.08,0.93,83515,7240,1.51,0.50
2014-04-02,8.71,8.81,8.68,8.79,0.08,0.92,85991,7532,1.49,0.51
2014-04-03,8.75,8.79,8.52,8.57,-0.22,-2.50,121005,10430,3.07,0.72
2014-04-04,8.56,8.73,8.55,8.68,0.11,1.28,65267,5653,2.10,0.39
2014-04-08,8.65,8.82,8.59,8.80,0.12,1.38,101192,8846,2.65,0.60
2014-04-09,8.84,8.99,8.82,8.91,0.11,1.25,124390,11085,1.93,0.74
2014-04-10,8.87,9.15,8.87,8.94,0.03,0.34,181273,16331,3.14,1.08
2014-04-11,8.93,9.01,8.79,8.98,0.04,0.45,152801,13622,2.46,0.91
2014-04-14,8.99,9.15,8.80,9.07,0.09,1.00,192976,17390,3.90,1.15
2014-04-15,9.06,9.30,8.90,8.91,-0.16,-1.76,248530,22628,4.41,1.48
2014-04-16,8.81,8.88,8.68,8.77,-0.14,-1.57,158299,13888,2.24,0.95
2014-04-17,8.77,8.83,8.70,8.73,-0.04,-0.46,87920,7675,1.48,0.53
2014-04-18,8.70,8.77,8.62,8.72,-0.01,-0.11,76441,6643,1.72,0.46
2014-04-21,8.61,8.71,8.50,8.53,-0.19,-2.18,96997,8354,2.41,0.58
2014-04-22,8.48,8.65,8.45,8.58,0.05,0.59,92329,7889,2.34,0.55
2014-04-23,8.58,8.65,8.51,8.60,0.02,0.23,61185,5246,1.63,0.37
2014-04-24,8.55,8.63,8.36,8.39,-0.21,-2.44,78711,6709,3.14,0.47
2014-04-25,8.41,8.48,8.11,8.14,-0.25,-2.98,113860,9465,4.41,0.68
2014-04-28,8.02,8.14,7.75,7.77,-0.37,-4.55,107935,8480,4.79,0.64
2014-04-29,7.77,7.97,7.77,7.94,0.17,2.19,67221,5309,2.57,0.40
2014-04-30,7.96,8.31,7.88,8.13,0.19,2.39,84402,6874,5.42,0.50
2014-05-05,8.18,8.32,8.07,8.21,0.08,0.98,74972,6148,3.08,0.45
2014-05-06,8.20,8.26,8.11,8.18,-0.03,-0.37,65571,5376,1.83,0.39
2014-05-07,8.18,8.18,7.84,7.90,-0.28,-3.42,71048,5674,4.16,0.42
2014-05-08,7.85,8.07,7.79,8.05,0.15,1.90,66208,5253,3.54,0.40
2014-05-09,8.21,8.28,7.96,8.00,-0.05,-0.62,87810,7124,3.98,0.52
2014-05-12,8.05,8.19,8.01,8.15,0.15,1.88,81687,6620,2.25,0.49
2014-05-13,8.14,8.16,8.00,8.08,-0.07,-0.86,61071,4936,1.96,0.36
2014-05-14,8.10,8.25,8.08,8.18,0.10,1.24,84095,6862,2.10,0.50
2014-05-15,8.25,8.27,8.04,8.04,-0.14,-1.71,73915,6011,2.81,0.44
2014-05-16,8.00,8.25,7.92,8.18,0.14,1.74,108004,8761,4.10,0.64
2014-05-19,8.13,8.13,7.98,8.04,-0.14,-1.71,51555,4147,1.83,0.31
2014-05-20,8.10,8.13,8.01,8.06,0.02,0.25,46754,3767,1.49,0.28
2014-05-21,7.91,7.91,7.72,7.84,-0.03,-0.38,46084,3607,2.41,0.28
2014-05-22,7.81,8.21,7.81,8.03,0.19,2.42,98103,7854,5.10,0.59
2014-05-23,7.99,8.03,7.90,8.00,-0.03,-0.37,58618,4663,1.62,0.35
2014-05-26,8.04,8.15,7.99,8.06,0.06,0.75,59779,4821,2.00,0.36
2014-05-27,8.07,8.10,7.94,7.96,-0.10,-1.24,56415,4514,1.99,0.34
2014-05-28,7.98,8.13,7.89,8.03,0.07,0.88,85085,6826,3.02,0.51
2014-05-29,8.02,8.03,7.88,7.89,-0.14,-1.74,66394,5278,1.87,0.40
2014-05-30,7.81,7.91,7.81,7.84,-0.05,-0.63,52094,4086,1.27,0.31
2014-06-03,7.85,7.89,7.81,7.83,-0.01,-0.13,35624,2794,1.02,0.21
2014-06-04,7.76,7.76,7.53,7.61,-0.22,-2.81,88117,6697,2.94,0.53
2014-06-05,7.60,7.68,7.57,7.67,0.06,0.79,49258,3757,1.45,0.29
2014-06-06,7.65,7.67,7.57,7.67,0.00,0.00,47177,3593,1.30,0.28
2014-06-09,7.61,7.66,7.52,7.54,-0.13,-1.69,42975,3266,1.83,0.26
2014-06-10,7.56,7.64,7.48,7.64,0.10,1.33,57733,4376,2.12,0.34
2014-06-11,7.78,7.81,7.68,7.72,0.08,1.05,95559,7399,1.70,0.57
