日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2015-01-05,10.90,11.89,10.77,11.89,1.08,9.99,3726889,422818,10.36,0.23
2015-01-06,12.10,12.33,11.50,11.69,-0.20,-1.68,3892349,462694,6.98,0.24
2015-01-07,11.50,12.42,11.43,12.39,0.70,5.99,3292583,390046,8.47,0.20
2015-01-08,12.20,13.14,12.08,12.21,-0.18,-1.45,4257348,536208,8.56,0.26
2015-01-09,12.08,12.70,11.84,12.07,-0.14,-1.15,2971975,364000,7.04,0.18
2015-01-12,11.83,11.96,11.56,11.62,-0.45,-3.73,1956024,229582,3.31,0.12
2015-01-13,11.64,11.84,11.53,11.64,0.02,0.17,1337554,156003,2.67,0.08
2015-01-14,11.63,11.74,11.16,11.31,-0.33,-2.84,1608475,183979,4.98,0.10
2015-01-15,11.37,12.38,11.22,12.29,0.98,8.66,2494050,292052,10.26,0.15
2015-01-16,12.10,12.90,12.06,12.60,0.31,2.52,3274461,408642,6.83,0.20
2015-01-19,12.00,12.34,11.34,11.44,-1.16,-9.21,3430423,404570,7.94,0.21
2015-01-20,11.61,12.04,11.43,11.83,0.39,3.41,2475010,291834,5.33,0.15
2015-01-21,11.76,12.90,11.65,12.69,0.86,7.27,3513150,431118,10.57,0.22
2015-01-22,12.61,12.82,12.39,12.63,-0.06,-0.47,2491393,314105,3.39,0.15
2015-01-23,12.65,13.26,12.56,12.82,0.19,1.50,3113847,400577,5.54,0.19
2015-01-26,12.68,13.20,12.54,13.09,0.27,2.11,2327076,297706,5.15,0.14
2015-01-27,13.07,13.21,12.41,12.61,-0.48,-3.67,2524167,321906,6.11,0.16
2015-01-28,12.44,12.55,12.20,12.25,-0.36,-2.85,1671606,206661,2.78,0.10
2015-01-29,11.99,12.13,11.70,11.98,-0.27,-2.20,1821136,217684,3.51,0.11
2015-01-30,12.04,12.11,11.61,11.64,-0.34,-2.84,1413740,167265,4.17,0.09
