日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,3.94,3.94,3.89,3.93,-0.01,-0.25,17802,697,1.27,0.22
2014-01-03,3.93,3.93,3.84,3.89,-0.04,-1.02,23443,907,2.29,0.29
2014-01-06,3.87,3.87,3.75,3.75,-0.14,-3.60,22915,869,3.08,0.28
2014-01-07,3.76,3.81,3.74,3.79,0.04,1.07,16205,613,1.87,0.20
2014-01-08,3.78,3.80,3.66,3.70,-0.09,-2.37,31862,1184,3.69,0.39
2014-01-09,3.71,3.76,3.65,3.65,-0.05,-1.35,24006,890,2.97,0.30
2014-01-10,3.64,3.68,3.55,3.58,-0.07,-1.92,24158,874,3.56,0.30
2014-01-13,3.58,3.60,3.53,3.55,-0.03,-0.84,19960,711,1.96,0.25
2014-01-14,3.52,3.63,3.52,3.61,0.06,1.69,16291,584,3.10,0.20
2014-01-15,3.62,3.62,3.55,3.58,-0.03,-0.83,13129,469,1.94,0.16
2014-01-16,3.57,3.63,3.56,3.63,0.05,1.40,20820,751,1.96,0.26
2014-01-17,3.59,3.61,3.56,3.57,-0.06,-1.65,8205,294,1.38,0.10
2014-01-20,3.57,3.58,3.48,3.50,-0.07,-1.96,15691,554,2.80,0.19
2014-01-21,3.51,3.55,3.50,3.54,0.04,1.14,13313,469,1.43,0.16
2014-01-22,3.53,3.63,3.53,3.63,0.09,2.54,33770,1212,2.82,0.42
2014-01-23,3.63,3.63,3.60,3.61,-0.02,-0.55,15101,545,0.83,0.19
2014-01-24,3.60,3.69,3.59,3.66,0.05,1.39,30235,1104,2.77,0.37
2014-01-30,3.88,4.03,3.78,4.03,0.37,10.11,65904,2616,6.83,0.81
2014-02-07,4.30,4.30,4.03,4.09,0.06,1.49,182369,7531,6.70,2.25
2014-02-10,4.06,4.10,3.97,4.06,-0.03,-0.73,101573,4101,3.18,1.25
2014-02-11,4.04,4.23,4.01,4.15,0.09,2.22,113992,4709,5.42,1.41
2014-02-12,4.12,4.13,4.04,4.11,-0.04,-0.96,68757,2807,2.17,0.85
2014-02-13,4.12,4.13,4.01,4.02,-0.09,-2.19,52575,2135,2.92,0.65
2014-02-14,4.03,4.09,3.99,4.08,0.06,1.49,46663,1888,2.49,0.58
2014-02-17,4.08,4.14,4.06,4.12,0.04,0.98,57853,2376,1.96,0.71
2014-02-18,4.10,4.11,4.03,4.04,-0.08,-1.94,43329,1761,1.94,0.54
2014-02-19,4.05,4.14,4.03,4.10,0.06,1.49,58530,2394,2.72,0.72
2014-02-20,4.10,4.15,4.06,4.12,0.02,0.49,59923,2458,2.20,0.74
2014-02-21,4.12,4.27,4.10,4.16,0.04,0.97,99581,4184,4.13,1.23
2014-02-24,4.12,4.14,4.04,4.13,-0.03,-0.72,53767,2196,2.40,0.66
2014-02-25,4.19,4.25,4.00,4.04,-0.09,-2.18,58018,2387,6.05,0.72
2014-02-26,4.00,4.04,3.91,4.02,-0.02,-0.50,48167,1916,3.22,0.59
2014-02-27,4.00,4.04,3.89,3.91,-0.11,-2.74,40552,1618,3.73,0.50
2014-02-28,3.91,3.96,3.84,3.96,0.05,1.28,27727,1078,3.07,0.34
2014-03-03,3.95,4.02,3.92,3.99,0.03,0.76,28359,1128,2.53,0.35
2014-03-04,3.96,4.01,3.93,4.00,0.01,0.25,20807,826,2.01,0.26
2014-03-05,4.00,4.02,3.94,3.97,-0.03,-0.75,22082,878,2.00,0.27
2014-03-06,3.96,3.97,3.89,3.93,-0.04,-1.01,28308,1110,2.02,0.35
2014-03-07,3.92,3.95,3.87,3.88,-0.05,-1.27,26401,1031,2.04,0.33
2014-03-10,3.88,3.88,3.73,3.75,-0.13,-3.35,29520,1123,3.87,0.36
2014-03-11,3.75,3.82,3.72,3.79,0.04,1.07,20589,779,2.67,0.25
2014-03-12,3.76,3.82,3.72,3.76,-0.03,-0.79,18223,686,2.64,0.23
2014-03-13,3.78,4.08,3.75,3.91,0.15,3.99,48926,1917,8.78,0.60
2014-03-14,3.88,3.88,3.80,3.85,-0.06,-1.53,26968,1036,2.05,0.33
2014-03-17,3.83,3.91,3.82,3.90,0.05,1.30,18567,719,2.34,0.23
2014-03-18,3.89,3.94,3.86,3.91,0.01,0.26,20013,782,2.05,0.25
2014-03-19,3.90,3.92,3.83,3.90,-0.01,-0.26,19908,770,2.30,0.25
2014-03-20,3.90,3.95,3.86,3.90,0.00,0.00,35398,1385,2.31,0.44
2014-03-21,3.88,3.99,3.86,3.98,0.08,2.05,41621,1643,3.33,0.51
2014-03-24,3.99,4.04,3.94,4.03,0.05,1.26,43692,1745,2.51,0.54
2014-03-25,4.15,4.43,4.15,4.32,0.29,7.20,322455,14066,6.95,3.98
2014-03-26,4.20,4.29,4.12,4.15,-0.17,-3.94,124573,5224,3.94,1.54
2014-03-27,4.15,4.26,4.11,4.12,-0.03,-0.72,60616,2534,3.61,0.75
2014-03-28,4.12,4.16,4.03,4.06,-0.06,-1.46,50077,2042,3.16,0.62
2014-03-31,4.02,4.11,4.01,4.03,-0.03,-0.74,30968,1252,2.46,0.38
2014-04-01,4.01,4.12,4.01,4.09,0.06,1.49,44285,1803,2.73,0.55
2014-04-02,4.09,4.16,4.05,4.08,-0.01,-0.24,27324,1118,2.69,0.34
2014-04-03,4.07,4.12,4.05,4.11,0.03,0.74,26172,1067,1.72,0.32
2014-04-04,4.11,4.13,4.05,4.06,-0.05,-1.22,32740,1333,1.95,0.40
2014-04-08,4.06,4.10,4.03,4.07,0.01,0.25,53848,2190,1.72,0.66
2014-04-09,4.08,4.15,4.04,4.14,0.07,1.72,58022,2370,2.70,0.72
2014-04-10,4.12,4.14,4.08,4.11,-0.03,-0.72,36998,1521,1.45,0.46
2014-04-11,4.10,4.12,4.07,4.10,-0.01,-0.24,27187,1113,1.22,0.34
2014-04-14,4.10,4.19,4.07,4.15,0.05,1.22,48847,2015,2.93,0.60
2014-04-15,4.16,4.29,4.13,4.18,0.03,0.72,96033,4046,3.86,1.19
2014-04-16,4.16,4.27,4.12,4.21,0.03,0.72,65230,2753,3.59,0.81
2014-04-17,4.21,4.27,4.17,4.21,0.00,0.00,48149,2030,2.38,0.59
2014-04-18,4.20,4.21,4.12,4.16,-0.05,-1.19,40758,1691,2.14,0.50
2014-04-21,4.14,4.16,4.05,4.06,-0.10,-2.40,36220,1489,2.64,0.45
2014-04-22,4.05,4.10,4.04,4.08,0.02,0.49,33120,1348,1.48,0.41
2014-04-23,4.06,4.11,4.00,4.05,-0.03,-0.74,32208,1306,2.70,0.40
2014-04-24,4.05,4.08,4.02,4.02,-0.03,-0.74,17671,714,1.48,0.22
2014-04-25,4.02,4.03,3.90,3.91,-0.11,-2.74,35260,1395,3.23,0.44
2014-04-28,3.91,3.92,3.78,3.80,-0.11,-2.81,24794,946,3.58,0.31
2014-04-29,3.80,3.88,3.80,3.87,0.07,1.84,16248,623,2.11,0.20
2014-04-30,3.85,3.96,3.84,3.88,0.01,0.26,18793,734,3.10,0.23
2014-05-05,3.85,3.94,3.85,3.93,0.05,1.29,12420,485,2.32,0.15
2014-05-06,3.91,3.95,3.87,3.94,0.01,0.25,18989,743,2.04,0.23
2014-05-07,3.92,3.94,3.85,3.87,-0.07,-1.78,12700,494,2.28,0.16
2014-05-08,3.87,3.91,3.84,3.89,0.02,0.52,11959,465,1.81,0.15
2014-05-09,3.89,3.92,3.85,3.85,-0.04,-1.03,13242,514,1.80,0.16
2014-05-12,3.86,3.98,3.86,3.96,0.11,2.86,21400,844,3.12,0.26
2014-05-13,3.96,4.02,3.94,3.99,0.03,0.76,18018,717,2.02,0.22
2014-05-14,3.99,4.01,3.94,3.95,-0.04,-1.00,14358,571,1.75,0.18
2014-05-15,3.96,3.96,3.81,3.87,-0.08,-2.03,16185,633,3.80,0.20
2014-05-16,3.88,3.89,3.84,3.88,0.01,0.26,9510,367,1.29,0.12
2014-05-19,3.85,3.89,3.82,3.83,-0.05,-1.29,16019,616,1.80,0.20
2014-05-20,3.86,3.90,3.79,3.83,0.00,0.00,24246,926,2.87,0.30
2014-05-21,3.99,4.10,3.85,3.94,0.11,2.87,29433,1159,6.53,0.36
2014-05-22,3.91,3.94,3.87,3.88,-0.06,-1.52,21621,844,1.78,0.27
2014-05-23,3.88,3.91,3.86,3.90,0.02,0.52,11096,431,1.29,0.14
2014-05-26,3.92,3.93,3.84,3.92,0.02,0.51,19961,777,2.31,0.25
2014-05-27,3.92,4.05,3.90,4.00,0.08,2.04,56535,2258,3.83,0.70
2014-05-28,3.97,4.00,3.93,3.99,-0.01,-0.25,35362,1402,1.75,0.44
2014-05-29,4.00,4.13,3.97,4.06,0.07,1.75,92826,3782,4.01,1.15
2014-05-30,4.07,4.21,4.05,4.10,0.04,0.99,117665,4866,3.94,1.45
2014-06-03,4.10,4.14,4.02,4.07,-0.03,-0.73,55113,2241,2.93,0.68
2014-06-04,4.05,4.06,3.90,3.95,-0.12,-2.95,51761,2061,3.93,0.64
2014-06-05,3.94,4.01,3.90,3.98,0.03,0.76,31098,1231,2.78,0.38
2014-06-06,3.98,3.98,3.89,3.93,-0.05,-1.26,32349,1271,2.26,0.40
2014-06-09,3.93,3.98,3.89,3.95,0.02,0.51,22422,883,2.29,0.28
2014-06-10,3.94,3.99,3.92,3.97,0.02,0.51,20006,792,1.77,0.25
2014-06-11,3.96,3.99,3.94,3.96,-0.01,-0.25,20084,796,1.26,0.25
2014-06-12,3.96,3.96,3.89,3.92,-0.04,-1.01,29393,1153,1.77,0.36
2014-06-13,3.91,3.95,3.90,3.93,0.01,0.26,26662,1047,1.28,0.33
