日期,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,成交量,成交金额,振幅,换手率
2014-01-02,6.88,7.03,6.86,6.91,-0.06,-0.86,28741,1989,2.44,0.98
2014-01-03,6.87,6.93,6.60,6.62,-0.29,-4.20,34497,2311,4.78,1.18
2014-01-06,6.58,6.60,6.14,6.18,-0.44,-6.65,35640,2242,6.95,1.22
2014-01-07,6.10,6.29,6.10,6.21,0.03,0.49,18854,1174,3.07,0.65
2014-01-08,6.21,6.30,6.05,6.10,-0.11,-1.77,22365,1380,4.03,0.77
2014-01-09,6.09,6.23,6.05,6.05,-0.05,-0.82,15802,970,2.95,0.54
2014-01-10,6.05,6.27,5.97,6.10,0.05,0.83,25534,1558,4.96,0.87
2014-01-13,6.05,6.15,6.02,6.07,-0.03,-0.49,14111,858,2.13,0.48
2014-01-14,6.06,6.25,6.04,6.25,0.18,2.97,16718,1031,3.46,0.57
2014-01-15,6.22,6.26,6.15,6.24,-0.01,-0.16,13954,866,1.76,0.48
2014-01-16,6.25,6.39,6.25,6.29,0.05,0.80,20436,1294,2.24,0.70
2014-01-17,6.25,6.29,6.10,6.13,-0.16,-2.54,18869,1160,3.02,0.65
2014-01-20,6.08,6.22,6.05,6.13,0.00,0.00,10449,643,2.77,0.36
2014-01-21,6.18,6.30,6.13,6.29,0.16,2.61,16660,1041,2.77,0.57
2014-01-22,6.27,6.46,6.25,6.42,0.13,2.07,25448,1629,3.34,0.87
2014-01-23,6.42,6.49,6.38,6.47,0.05,0.78,20902,1344,1.71,0.72
2014-01-24,6.42,6.56,6.42,6.48,0.01,0.15,18804,1221,2.16,0.64
2014-01-27,6.42,6.72,6.35,6.69,0.21,3.24,36225,2377,5.71,1.24
2014-01-28,6.68,6.68,6.53,6.60,-0.09,-1.35,25698,1697,2.24,0.88
2014-01-29,6.66,6.68,6.55,6.63,0.03,0.45,17356,1146,1.97,0.59
2014-01-30,6.62,6.88,6.53,6.70,0.07,1.06,27137,1818,5.28,0.93
2014-02-07,6.61,6.88,6.55,6.84,0.14,2.09,27571,1869,4.93,0.94
2014-02-10,6.85,7.16,6.84,7.03,0.19,2.78,36344,2550,4.68,1.24
2014-02-11,7.01,7.22,7.00,7.05,0.02,0.28,35066,2481,3.13,1.20
2014-02-12,7.06,7.08,6.98,7.06,0.01,0.14,24970,1756,1.42,0.85
2014-02-13,7.05,7.48,7.01,7.25,0.19,2.69,74921,5427,6.66,2.56
2014-02-14,7.21,7.33,7.13,7.28,0.03,0.41,36793,2663,2.76,1.26
2014-02-17,7.38,7.42,7.25,7.32,0.04,0.55,41617,3043,2.34,1.42
